id,salary_in_usd
0,81773.0056354099
1,47102.24167597736
2,47102.24167597736
3,81774.58539370954
4,75855.88150739804
5,76211.15340952773
6,102991.02855345595
7,136944.87327955308
8,-18908.512895334785
9,102991.02855345595
10,6920.380865389106
11,115347.4649309432
12,-15553.423543938574
13,61832.00902731781
14,71420.28135064525
15,60638.43495410433
16,133267.27520617776
17,47245.674231130455
18,-3216.5719560334346
19,-20622.559828403966
20,79669.43017285423
21,128358.6130738083
22,96227.98338573921
23,32151.008711020706
24,-1985.4064368541922
25,37761.85999036024
26,14604.419102188083
27,110181.87511931914
28,15958.571079930693
29,132811.2089136936
30,72025.16063277573
31,37223.51396501159
32,76009.388580274
33,33206.44778804369
34,40838.61106728223
35,65307.573159670115
36,32151.008711020706
37,49364.8019545188
38,43582.61659955365
39,97995.6783120338
40,48168.021773418426
41,59684.51224175419
42,47245.674231130455
43,97995.6783120338
44,-24970.81295576756
45,100387.45297196988
46,18883.381891936333
47,43582.61659955365
48,37223.51396501159
49,-3216.5719560334346
50,76464.23866738353
51,117831.78395573546
52,15269.229988564975
53,-8176.354592454603
54,15269.229988564975
55,63203.501478028
56,38012.4604434365
57,53157.18681525581
58,38012.4604434365
59,38012.4604434365
60,38012.4604434365
61,53157.18681525581
62,38012.4604434365
63,43602.2509429909
64,43602.2509429909
65,38012.4604434365
66,38012.4604434365
67,38012.4604434365
68,43602.2509429909
69,63203.501478028
70,2815.194469987576
71,36172.42902684109
72,4968.080377378762
73,40690.50976568815
74,44446.855719876265
75,15269.229988564975
76,41822.87965914294
77,40690.50976568815
78,13101.447032529062
79,11512.432521888524
80,19263.21074236462
81,12769.91271789399
82,8307.241016417805
83,38783.07586544031
84,-8176.354592454603
85,63203.501478028
86,63203.501478028
87,38012.4604434365
88,38012.4604434365
89,116142.59095534921
90,21074.83392486731
91,-13205.390390147153
92,72382.52803705374
93,-23227.55065626602
94,38012.4604434365
95,-23227.55065626602
96,140.74521301485413
97,41496.43184778231
98,64009.423560122166
99,54978.53135602342
100,38012.4604434365
101,38012.4604434365
102,38012.4604434365
103,38012.4604434365
104,38012.4604434365
105,51338.8468784986
106,43602.2509429909
