id,salary_in_usd
0,102796.27912137972
1,151638.97637035383
2,110772.76001115725
3,71089.08399585693
4,45255.142500863876
5,27510.030609517707
6,89161.68912049488
7,25563.81133849686
8,41793.8858128431
9,160069.3162887363
10,49775.6609562377
11,164847.4601016374
12,62116.22038990632
13,6465.317038355744
14,61229.73163584131
15,35002.18628972361
16,104188.94456199103
17,162144.79817407124
18,33964.39502064709
19,19124.582799252938
20,46972.852744312724
21,47866.67133073602
22,137392.7394435373
23,176314.69289490278
24,3431.800559438183
25,16147.146462873789
26,107064.10035092663
27,241496.18433157308
28,40499.61371663958
29,149560.4710833853
30,131742.70067422802
31,126394.61005225242
32,100005.62632709183
33,88424.50135066174
34,49131.36484047503
35,39747.90982326772
36,176585.85258227575
37,11488.814672946464
38,64156.1648302743
39,183321.94084099517
40,7462.73741791246
41,8083.7874830991495
42,110461.14415105386
43,162298.37730504246
44,102589.16647794354
45,237592.74140318634
46,141172.6486034802
47,47616.23767852795
48,126394.61005225242
49,42968.32816936984
50,131172.75386515353
51,73448.96541090438
52,143401.70961978624
53,136386.0988703937
54,107617.21421784116
55,76029.09298656741
56,154979.51349884667
57,173465.81865909265
58,119195.01809690148
59,152438.8366224371
60,119195.01809690148
61,212574.8693413824
62,152438.8366224371
63,156913.7704954202
64,173453.69764716655
65,204615.131190105
66,204615.131190105
67,152438.8366224371
68,123669.95196988457
69,92569.02013831364
70,177072.51265540847
71,159446.0845685295
72,88278.34171321511
73,57290.597726250766
74,69438.03231391835
75,140861.0327433768
76,48536.8468574658
77,71554.15911358432
78,127400.39323510928
79,169195.0541653399
80,5659.847272462677
81,32777.4074990534
82,293250.09999652766
83,213552.54773035925
84,103142.28034485807
85,78569.76986297686
86,78569.76986297686
87,154979.51349884667
88,152438.8366224371
89,156722.93934549484
90,82430.24731973954
91,43572.7278903597
92,126106.13212120731
93,60251.10790987359
94,152438.8366224371
95,177951.99041748722
96,32380.255737253232
97,80745.55628841277
98,49435.99475945078
99,152841.07210928726
100,152438.8366224371
101,119195.01809690148
102,119195.01809690148
103,204615.131190105
104,154979.51349884667
105,32125.64213511371
106,123669.95196988457
